issue,github,phase,status,priority,blocking,activation,contract_sha256,review_notes
ISSUE-0007,11,phase-02-data-policy-identity,implemented_initially,P2,,,178c88c22693cf2918f8c81ebbfabc49ee6bf07564d2e88607c787cff5623ae9,Acceptance resides in source ledger/contract and normative amendments; not absent merely because registry has no AC array. 1 normative amendment(s) remain binding on issue card. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0019,23,phase-01-governance-scope,implemented_initially,P0/P1,,,15e9c4ca6d2904ba5d555c7ad40260f29649888e7ea7b65ad32ead7b54a02e29,"Acceptance resides in source ledger/contract and normative amendments; not absent merely because registry has no AC array. Merged product #732 is a reuse candidate; validate lifecycle evidence, do not implement twice."
ISSUE-0020,24,phase-08-frontend-api,implemented_initially,P1,,,2a6131b1d7bf679668424214317acb60b4b7d20916be81a6420dd8e284b2b837,Acceptance resides in source ledger/contract and normative amendments; not absent merely because registry has no AC array. 3 normative amendment(s) remain binding on issue card. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0021,25,phase-01-governance-scope,implemented_initially,P1,,,a8c7805b36612a1cca0a1cd47ea27266e335f80e28bc14e08b85920dfde18dec,Acceptance resides in source ledger/contract and normative amendments; not absent merely because registry has no AC array. 1 normative amendment(s) remain binding on issue card. Unique unmerged #711; producer identities and PIT acceptance still require fresh exact-head evidence.
ISSUE-0022,26,phase-02-data-policy-identity,implemented_initially,P1,,,efd30b0435f2db6e656f918b53e8a1d7aad56e034f496330e2c270452d31046e,Acceptance resides in source ledger/contract and normative amendments; not absent merely because registry has no AC array. 1 normative amendment(s) remain binding on issue card. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0023,27,phase-02-data-policy-identity,implemented_initially,P1,,,d8eeb1164b41695a5395bc8c0254604d1081cd3d8356ab0af9faf31eed3ef509,Acceptance resides in source ledger/contract and normative amendments; not absent merely because registry has no AC array. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0024,28,phase-01-governance-scope,implemented_initially,P1/P2,,,d3f6d6054292d5f18959381979a9157dbb225f4314e81c0f1c2c7ee8f087cad7,"Acceptance resides in source ledger/contract and normative amendments; not absent merely because registry has no AC array. Merged product #678; actual head differs from stale PR prose. Verify lifecycle, not duplicate implementation."
ISSUE-0025,29,phase-02-data-policy-identity,implemented_initially,P1,,,ca59fe4dacc221ba65ca4c0d8827feb7e4bf677c084f3e30cf6cbd416d4faee0,Acceptance resides in source ledger/contract and normative amendments; not absent merely because registry has no AC array. 1 normative amendment(s) remain binding on issue card. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0026,30,phase-01-governance-scope,implemented_initially,P1/P2,,,b4a95c25fb74eb691ba009384fcfad25e1b7c3fcb6b40b69d1166b4c1009f540,"Acceptance resides in source ledger/contract and normative amendments; not absent merely because registry has no AC array. Merged product #710 requires actual source/acceptance/lifecycle reconciliation, not title-based completion."
ISSUE-0027,31,phase-01-governance-scope,implemented_initially,P1,,,32e4fc563c93c5fb7af65df21556a1b07eb046bb368e6e6223beaade1cf4429f,Acceptance resides in source ledger/contract and normative amendments; not absent merely because registry has no AC array. Forecast/training/resource producer identity contract must be evidenced before UI completion; depth-8 bottleneck.
ISSUE-0028,32,phase-05-returns-risk-portfolio,implemented_initially,P0/P1,,,5e4b19046b79096464a42a4a3e48ec02a30b7c9ddc68ac645fe0eccb03c89d5f,Acceptance resides in source ledger/contract and normative amendments; not absent merely because registry has no AC array. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0029,33,phase-05-returns-risk-portfolio,planned,P1/P2,,,69135e73e3ab3047c8bb755111431c8abf456b8ad057d70b30daafb278fc0f97,Acceptance resides in source ledger/contract and normative amendments; not absent merely because registry has no AC array. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0030,34,phase-08-frontend-api,implemented_initially,P0/P1,,,1681bcf4fa495b72ee826d419f922d50005dac292f22b90cd9f403d5e691ea55,Acceptance resides in source ledger/contract and normative amendments; not absent merely because registry has no AC array. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0032,77,phase-07-backtest-paper-execution,planned,P2,,,bce06f57897758bdca410d7b08939b98578253ff9f681c7cac62cbebf195b83a,Acceptance resides in source ledger/contract and normative amendments; not absent merely because registry has no AC array. Preserve #725 future-only broker scaffold; no external or live-order authority.
ISSUE-0033,79,phase-01-governance-scope,planned,P2,,,839949a469a8d384e1689e3cba81daeed45a0f2240c666b3b669f159ea8e333a,Acceptance resides in source ledger/contract and normative amendments; not absent merely because registry has no AC array. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0034,80,phase-01-governance-scope,implemented_initially,P1,,,8e35d6ee7c85cab659e0f72f908e83ae90893706860663b0c6dd9e9df0296255,Acceptance resides in source ledger/contract and normative amendments; not absent merely because registry has no AC array. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0036,83,phase-01-governance-scope,implemented_initially,P1/P2,,,eaf5d9bfab4f125f9b353780e1ac5d378d612a23574523c7b36250275c632a2c,Acceptance resides in source ledger/contract and normative amendments; not absent merely because registry has no AC array. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0039,88,phase-01-governance-scope,in_progress,P1/P2,,,50b049c089b4df7573043ee25c9651aeaab355ed3a687dcd58ff73310910a661,Acceptance resides in source ledger/contract and normative amendments; not absent merely because registry has no AC array. 2 normative amendment(s) remain binding on issue card. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0040,89,phase-01-governance-scope,in_progress,P1,,,198c7d82446c56ec00d83bf2577d1d41105e1d9c5e12c4b83948a08ffd7f363f,Acceptance resides in source ledger/contract and normative amendments; not absent merely because registry has no AC array. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0041,91,phase-08-frontend-api,implemented_initially,P1/P2,,,88fe25fa939303826be8300fb355b3b4d4917845764a742c58cf5b87c1356514,Acceptance resides in source ledger/contract and normative amendments; not absent merely because registry has no AC array. Partial unmerged successor 6e4efc1490 UI exists; do not accept handoff claim as tests or completeness.
ISSUE-0042,92,phase-08-frontend-api,implemented_initially,P1/P2,,,0dbfe1efadc33a69ef56fad6b60c8b00b79826853038d47f5ce7d1663c2fe019,Acceptance resides in source ledger/contract and normative amendments; not absent merely because registry has no AC array. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0043,94,phase-08-frontend-api,planned,P2,,,9f88e77c8c1c3814dbc6c2bad63087cbd858030624171db2698277165f4015f8,Acceptance resides in source ledger/contract and normative amendments; not absent merely because registry has no AC array. Preserve #725 help/manual/UI/test work; no independent AGY ownership.
ISSUE-0044,95,phase-01-governance-scope,implemented_initially,P1/P2,,,6ef1c53b0a1c21f4ade2909af5d5b17aa98d46077ad949b7d8ecde93b6d624a2,Acceptance resides in source ledger/contract and normative amendments; not absent merely because registry has no AC array. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0045,97,phase-08-frontend-api,in_progress,P1,,,fa3948ba0ba34dfc3ce77c891aa60029da0f2ee0fcc356eac730c491b9887171,Acceptance resides in source ledger/contract and normative amendments; not absent merely because registry has no AC array. No additional semantic correction established from this contract/dependency review; product acceptance remains unverified.
ISSUE-0050,105,phase-01-governance-scope,implemented_initially,P1,,,864303de99cd818c94ae85842917aaec0fba762151853ce94480ea8cb9400254,"Acceptance resides in source ledger/contract and normative amendments; not absent merely because registry has no AC array. Preserve #698 operational evidence, runner parity and isolated fixture optimisation; historical timeout is not acceptance."
