source_record_id,source_kind,source_file,source_title,canonical_id,canonical_title,classification,ledger_state,package_status,programme_status,priority,owner,phase,dependency_candidates,blocking_dependencies,required_inputs,activation_dependencies,downstream_issues,related_issues,discrepancy
ISSUE-0001,local,issues/open.md and issues/closed.md,Create durable issue tracker and plan synchronisation,ISSUE-0001,Create durable issue tracker and plan synchronisation,local_only_closed,closed,Completed,closed,P3,programme-governance,phase-01-governance-scope,,,,,,,
ISSUE-0002,local,issues/open.md and issues/closed.md,Add young/noisy evidence and too-good-to-be-true warnings,ISSUE-0002,Add young/noisy evidence and too-good-to-be-true warnings,local_only_closed,closed,Completed,closed,P3,programme-governance,phase-01-governance-scope,,,,,,,
ISSUE-0003,local,issues/open.md and issues/closed.md,Add benchmark alpha/beta/regime attribution,ISSUE-0003,Add benchmark alpha/beta/regime attribution,local_only_closed,closed,Completed,closed,P3,analysis-and-validation,phase-01-governance-scope,,,,,,,
ISSUE-0004,local,issues/open.md and issues/closed.md,"Add hit-rate, payoff-ratio and expected-value diagnostics",ISSUE-0004,"Add hit-rate, payoff-ratio and expected-value diagnostics",local_only_closed,closed,Completed,closed,P3,programme-governance,phase-01-governance-scope,,,,,,,
ISSUE-0005,local,issues/open.md and issues/closed.md,Add friction/cost/slippage stress engine,ISSUE-0005,Add friction/cost/slippage stress engine,local_only_closed,closed,Completed,closed,P3,programme-governance,phase-01-governance-scope,,,,,,,
ISSUE-0006,local,issues/open.md and issues/closed.md,Add explicit model/backtest contamination validity status,ISSUE-0006,Add explicit model/backtest contamination validity status,local_only_closed,closed,Completed,closed,P3,analysis-and-validation,phase-01-governance-scope,,,,,,,
ISSUE-0007,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,Add non-executable news/macro contradiction panel,ISSUE-0007,Add non-executable news/macro contradiction panel,current_open_retained,open,Open,implemented_initially,P2,data-and-evidence,phase-02-data-policy-identity,ISSUE-0024;ISSUE-0026;ISSUE-0054;ISSUE-0073;ISSUE-0115,,,,,ISSUE-0024;ISSUE-0026;ISSUE-0054;ISSUE-0073;ISSUE-0115,
ISSUE-0008,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,Add strategy taxonomy and scope/rejection matrix,ISSUE-0008,Add strategy taxonomy and scope/rejection matrix,current_open_retained,open,Open,integrated,P2,analysis-and-validation,phase-05-returns-risk-portfolio,ISSUE-0060;ISSUE-0070;ISSUE-0130;ISSUE-0133,,,,ISSUE-0070,ISSUE-0060;ISSUE-0070;ISSUE-0130;ISSUE-0133,
ISSUE-0009,local,issues/open.md and issues/closed.md,Add source-credibility scoring for imported research notes,ISSUE-0009,Add source-credibility scoring for imported research notes,local_only_closed,closed,Completed,closed,P3,programme-governance,phase-01-governance-scope,,,,,,,
ISSUE-0010,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,Add non-executable LLM thesis diary,ISSUE-0010,Add non-executable LLM thesis diary,current_open_retained,open,Open,planned,P2,programme-governance,phase-01-governance-scope,ISSUE-0030;ISSUE-0057;ISSUE-0147,,,,,ISSUE-0030;ISSUE-0057;ISSUE-0147,
ISSUE-0011,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,Full main-UI button reliability audit,ISSUE-0011,Full main-UI button reliability audit,current_open_retained,open,"Open, partial",in_progress,P0,frontend-and-api,phase-08-frontend-api,ISSUE-0014;ISSUE-0045;ISSUE-0136;ISSUE-0143,,,,,ISSUE-0014;ISSUE-0045;ISSUE-0136;ISSUE-0143,
ISSUE-0012,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,Add visible progress/status indicators for long-running actions,ISSUE-0012,Add visible progress/status indicators for long-running actions,current_open_retained,open,"Open, partial",in_progress,P0,programme-governance,phase-01-governance-scope,ISSUE-0077;ISSUE-0117;ISSUE-0139,,,,,ISSUE-0077;ISSUE-0117;ISSUE-0139,
ISSUE-0013,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,Rebuild package after every completed feature,ISSUE-0013,Rebuild package after every completed feature,current_open_retained,open,Open,integrated,P0,platform-and-operations,phase-01-governance-scope,ISSUE-0141;ISSUE-0145;ISSUE-0152;UPDATEV2-0029,,,,,ISSUE-0141;ISSUE-0145;ISSUE-0152;UPDATEV2-0029,
ISSUE-0014,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,Add end-to-end workflow test,ISSUE-0014,Add end-to-end workflow test,current_open_retained,open,"Open, partial",in_progress,P0/P1,programme-governance,phase-01-governance-scope,ISSUE-0045;ISSUE-0143;ISSUE-0152,,,,,ISSUE-0045;ISSUE-0143;ISSUE-0152,
ISSUE-0015,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,Add app-level feature map / roadmap page,ISSUE-0015,Add app-level feature map / roadmap page,current_open_retained,open,Open,implemented_initially,P1,programme-governance,phase-01-governance-scope,ISSUE-0070;ISSUE-0075;ISSUE-0152,,,,,ISSUE-0070;ISSUE-0075;ISSUE-0152,
ISSUE-0016,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,Full product navigation redesign,ISSUE-0016,Full product navigation redesign,current_open_retained,open,Open,implemented_initially,P1,frontend-and-api,phase-08-frontend-api,ISSUE-0137;ISSUE-0138;ISSUE-0139;ISSUE-0140,,,,,ISSUE-0137;ISSUE-0138;ISSUE-0139;ISSUE-0140,
ISSUE-0017,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,First-run onboarding and setup wizard,ISSUE-0017,First-run onboarding and setup wizard,current_open_retained,open,Implementation complete; closure pending,implemented_initially,P1,frontend-and-api,phase-08-frontend-api,ISSUE-0080;ISSUE-0146;ISSUE-0151,,,,,ISSUE-0080;ISSUE-0146;ISSUE-0151,
ISSUE-0018,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,Watchlist and universe manager,ISSUE-0018,Watchlist and universe manager,current_open_retained,open,Implementation complete; closure pending,implemented_initially,P0/P1,programme-governance,phase-01-governance-scope,ISSUE-0082;ISSUE-0083;ISSUE-0126;UPDATEV2-0011,,,,ISSUE-0165,ISSUE-0082;ISSUE-0083;ISSUE-0126;UPDATEV2-0011,
ISSUE-0019,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,Proper instrument detail page,ISSUE-0019,Proper instrument detail page,current_open_retained,open,Implementation complete; closure pending,implemented_initially,P0/P1,programme-governance,phase-01-governance-scope,ISSUE-0091;ISSUE-0116;ISSUE-0138,,,,,ISSUE-0091;ISSUE-0116;ISSUE-0138,
ISSUE-0020,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,Screener and filter system,ISSUE-0020,Screener and filter system,current_open_retained,open,Open,implemented_initially,P1,frontend-and-api,phase-08-frontend-api,ISSUE-0073;ISSUE-0074;ISSUE-0098;ISSUE-0138,,,,ISSUE-0165;ISSUE-0166,ISSUE-0073;ISSUE-0074;ISSUE-0098;ISSUE-0138,
ISSUE-0021,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,Portfolio construction and allocation sandbox,ISSUE-0021,Portfolio construction and allocation sandbox,current_open_retained,open,Open,implemented_initially,P1,programme-governance,phase-01-governance-scope,ISSUE-0110;ISSUE-0116;ISSUE-0130,,,,ISSUE-0113;ISSUE-0116,ISSUE-0110;ISSUE-0116;ISSUE-0130,
ISSUE-0022,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,ETF overlap and look-through exposure engine,ISSUE-0022,ETF overlap and look-through exposure engine,current_open_retained,open,Open,implemented_initially,P1,data-and-evidence,phase-02-data-policy-identity,ISSUE-0082;ISSUE-0105;UPDATEV2-0016,,,,ISSUE-0162,ISSUE-0082;ISSUE-0105;UPDATEV2-0016,
ISSUE-0023,current,ETF_AI_Cockpit_Current_Open_Issues_Audit.csv,Stock fundamentals quality module hardening,ISSUE-0023,Stock fundamentals quality module hardening,current_open_retained,open,Implementation complete; closure pending,implemented_initially,P1,data-and-evidence,phase-02-data-policy-identity,ISSUE-0091;ISSUE-0102,,,,,ISSUE-0091;ISSUE-0102,
