owner,record_count,open_count,closed_count,proposed_count,phases
analysis-and-validation,11,11,0,0,phase-05-returns-risk-portfolio
audit-and-reproducibility,1,1,0,1,phase-10-audit-documentation-governance
backtest-and-paper,3,3,0,3,phase-07-backtest-paper-execution
data-and-evidence,17,15,2,0,phase-02-data-policy-identity
data-platform,13,13,0,13,phase-01-governance-scope;phase-02-data-policy-identity
documentation,1,1,0,1,phase-10-audit-documentation-governance
etf-research,5,5,0,5,phase-04-etf-research
frontend-and-api,16,16,0,5,phase-08-frontend-api
model-governance,9,9,0,9,phase-06-model-research;phase-10-audit-documentation-governance
platform-and-operations,8,8,0,3,phase-01-governance-scope
portfolio-construction,2,2,0,2,phase-05-returns-risk-portfolio
programme-governance,33,31,2,5,phase-01-governance-scope;phase-09-quality-release-security;phase-10-audit-documentation-governance;phase-11-certification
quality-and-release,4,4,0,4,phase-09-quality-release-security;phase-10-audit-documentation-governance
reproducibility,1,1,0,1,phase-01-governance-scope
returns-and-risk,7,7,0,7,phase-05-returns-risk-portfolio
scoring-and-evidence,1,1,0,1,phase-01-governance-scope
security-and-release,3,3,0,3,phase-01-governance-scope;phase-09-quality-release-security
stock-research,12,12,0,12,phase-03-stock-research
trading-safety,12,12,0,8,phase-07-backtest-paper-execution
