source_id,dependency,candidate_type,resolved_as,reason
ISSUE-0007,ISSUE-0024,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0007,ISSUE-0026,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0007,ISSUE-0054,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0007,ISSUE-0073,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0007,ISSUE-0115,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0008,ISSUE-0060,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0008,ISSUE-0070,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0008,ISSUE-0130,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0008,ISSUE-0133,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0010,ISSUE-0030,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0010,ISSUE-0057,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0010,ISSUE-0147,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0011,ISSUE-0014,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0011,ISSUE-0045,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0011,ISSUE-0136,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0011,ISSUE-0143,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0012,ISSUE-0077,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0012,ISSUE-0117,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0012,ISSUE-0139,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0013,ISSUE-0141,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0013,ISSUE-0145,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0013,ISSUE-0152,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0013,UPDATEV2-0029,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0014,ISSUE-0045,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0014,ISSUE-0143,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0014,ISSUE-0152,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0015,ISSUE-0070,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0015,ISSUE-0075,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0015,ISSUE-0152,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0016,ISSUE-0137,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0016,ISSUE-0138,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0016,ISSUE-0139,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0016,ISSUE-0140,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0017,ISSUE-0080,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0017,ISSUE-0146,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0017,ISSUE-0151,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0018,ISSUE-0082,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0018,ISSUE-0083,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0018,ISSUE-0126,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0018,UPDATEV2-0011,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0019,ISSUE-0091,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0019,ISSUE-0116,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0019,ISSUE-0138,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0020,ISSUE-0073,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0020,ISSUE-0074,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0020,ISSUE-0098,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0020,ISSUE-0138,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0021,ISSUE-0110,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0021,ISSUE-0116,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0021,ISSUE-0130,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0022,ISSUE-0082,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0022,ISSUE-0105,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0022,UPDATEV2-0016,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0023,ISSUE-0091,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0023,ISSUE-0102,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0024,ISSUE-0073,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0024,ISSUE-0084,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0024,ISSUE-0085,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0024,ISSUE-0130,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0025,ISSUE-0007,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0025,ISSUE-0054,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
ISSUE-0025,ISSUE-0087,related,related_issues,current-ledger dependency retained as a candidate pending explicit prerequisite review
