category,name,url,use,quality
Repository,ETF AI Cockpit current repository,https://github.com/Thor2709/etf_ai_cockpit,"Primary source for current code, plan and canonical issue ledger.",Primary / High
Official data,SEC EDGAR APIs and nightly bulk archives,https://www.sec.gov/search-filings/edgar-application-programming-interfaces,"Official US submissions and XBRL facts; bulk-first, fair-access ingestion.",Primary / High
Official data,SEC Form N-PORT data sets,https://www.sec.gov/data-research/sec-markets-data/form-n-port-data-sets,Quarterly public US registered-fund portfolio data sets.,Primary / High
Official data,Companies House free company data product,https://download.companieshouse.gov.uk/en_output.html,"Free monthly UK company snapshot for entity, status and SIC context.",Primary / High
Official data,Companies House free accounts data product,https://download.companieshouse.gov.uk/en_accountsdata.html,Free daily/monthly UK iXBRL accounts files.,Primary / High
Official data,Eurostat API data access,https://ec.europa.eu/eurostat/web/user-guides/data-browser/api-data-access/api-introduction,Free official EU statistics; application must snapshot vintages because the API exposes current data.,Primary / High
Official data,World Bank Indicators API,https://datahelpdesk.worldbank.org/knowledgebase/articles/889392-about-the-indicators-api-documentation,No-key global macro and development indicators.,Primary / High
Official data,ISO 10383 Market Identifier Codes,https://www.iso20022.org/market-identifier-codes,Official downloadable MIC/exchange identity list.,Primary / High
Official data,ECB euro foreign-exchange reference rates,https://www.ecb.europa.eu/stats/policy_and_exchange_rates/euro_reference_exchange_rates/html/index.en.html,"Official daily reference FX; suitable for valuation context, not transaction execution prices.",Primary / High
Research data,Kenneth French Data Library,https://mba.tuck.dartmouth.edu/pages/faculty/ken.french/data_library.html,Downloadable factor and portfolio reference returns with archives and methodology.,Primary research data / High
Research data,AQR public data sets,https://www.aqr.com/Insights/Datasets,Public research factor data sets; use requires methodology and terms review.,Research data / Moderate
Institutional comparator,BlackRock Aladdin,https://www.blackrock.com/aladdin,"Closed-source comparator for common data, whole-portfolio risk, lifecycle integration and operational controls.",Vendor description / Indirect
Institutional comparator,Morningstar Direct,https://www.morningstar.com/products/direct,"Closed-source comparator for centralised investment data, research, portfolio analytics and reporting.",Vendor description / Indirect
Institutional comparator,SimCorp One,https://www.simcorp.com/solutions/simcorp-one,"Closed-source comparator for front-to-back source-of-truth, positions, cash, risk, compliance and audit.",Vendor description / Indirect
Institutional comparator,MSCI BarraOne,https://www.msci.com/our-solutions/risk-and-portfolio-management/barraone,"Closed-source comparator for multi-factor, multi-asset risk, stress and attribution.",Vendor description / Indirect
Open source,OpenBB,https://github.com/OpenBB-finance/OpenBB,Provider/data integration architecture; AGPL review and service boundary required.,Primary software source / High
