issue_id,title,epic,priority,evidence_grade,problem,why,implementation,data_and_dependencies,acceptance_criteria,tests_required,ui_requirement,security_and_audit,dependencies,free_no_quota_policy
ISSUE-0070,"Freeze the final product scope, completion contract and staged execution authority",Foundation & governance,P0,High,"The current authoritative plan defines an advisory-only cockpit, while the final requested product includes automatic trading.","Without an explicit superseding contract, developers can either violate existing safety policy or implement incompatible meanings of “finished”.","- Write an Architecture Decision Record defining the two final product functions and supported horizons.
- Define authority stages: research, shadow proposal, paper, broker read-only, draft order, capped automatic and disabled.
- Define the mandatory no-subscription core and optional enrichment tier.
- Create one machine-readable capability, dependency and closure matrix.
- Preserve historical rejection records but identify this ADR as the superseding scope decision.","- Canonical issue ledger and plan.
- Risk, execution and data-source policies.
- No external runtime dependency.","- Every route, dataset, model, strategy and broker capability has a declared authority stage.
- Live execution is disabled by default and cannot be enabled without all prerequisite evidence.
- The final completion checklist is finite, versioned and approved.
- No wording promises returns or claims equivalence with proprietary institutional platforms.","- Policy schema tests.
- Authority transition and tampering tests.
- Issue-ledger reconciliation test.
- Static scan for undeclared execution paths.","System Map, Settings and Audit show the active product contract and authority stage.",Append-only ADR checksum; every authority change is logged and included in audit exports.,ISSUE-0008; ISSUE-0032; ISSUE-0060; ISSUE-0066,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0071,"Refactor into bounded domain, application, infrastructure and presentation modules",Foundation & governance,P0,High,"AppState, services and score modules combine UI state, orchestration, calculations, persistence and provider concerns.","Training, bitemporal storage and execution will make the current modular monolith increasingly fragile and difficult to test.","- Define domain packages for instruments, data, fundamentals, funds, features, scores, forecasts, portfolio, risk, backtest, paper, execution and audit.
- Define application commands, queries and jobs that mediate every UI action.
- Move provider, database, model and broker implementations behind explicit ports.
- Split page/session state from durable workflow state.
- Add compatibility facades and migrate incrementally rather than performing a flag-day rewrite.
- Generate an import/dependency graph and enforce package boundaries in CI.","- Python protocols/ABCs and dependency-injection wiring.
- Existing tests retained as a characterisation suite.","- No presentation module imports provider, database or broker implementations directly.
- Each canonical calculation has one implementation path.
- Mandatory workflows retain behaviour throughout migration.
- Circular-dependency and architectural-boundary checks pass.","- Import-boundary tests.
- Characterisation and contract tests.
- Mutation tests for boundary violations.
- Source/package smoke after each migration wave.",No new end-user page; Diagnostics exposes module and service health.,Sensitive provider/broker objects never enter serialised UI state; architecture report is included in audit evidence.,ISSUE-0070,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0072,Implement the hybrid local analytical and transactional data platform,Data platform,P0,High,"Parquet files and in-memory DuckDB queries do not provide complete transactional state for jobs, experiments, journals, portfolios, orders and reconciliation.",The final product needs scalable local analytics and ACID operational state without requiring a remote database service.,"- Use immutable/versioned Parquet plus DuckDB for large analytical tables.
- Use SQLite in WAL mode for configuration, jobs, experiments, journals, portfolio and order ledgers.
- Create repository interfaces, migrations, foreign keys, integrity checks, compaction and retention.
- Publish derived analytical generations atomically and expose read-only snapshots to UI queries.
- Preserve CSV/JSON exports and migrate current files without losing lineage.","- DuckDB, SQLite and PyArrow.
- Polars only for benchmarked hot paths.
- Configurable local storage root.","- Fresh and migrated installations return identical canonical queries.
- Interrupted writes cannot corrupt the last valid generation.
- Analytical and transactional records reconcile through stable IDs and run IDs.
- Backup, restore and supported rollback are documented and tested.","- Migration fixtures.
- Crash-injection tests.
- Concurrent reader/writer tests.
- Integrity and performance tests.","Data Health shows store versions, sizes, migrations, integrity and last compaction.","File/database permissions, path traversal prevention, hashes and encrypted-backup compatibility are required.",ISSUE-0038; ISSUE-0071,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0073,Implement a bitemporal point-in-time and data-vintage model,Data platform,P0,High,"Datasets do not consistently distinguish economic period, publication time, availability time, ingestion time and later revisions.",Long-term fundamental models and historical tests are invalid if restated or future-known information leaks into earlier decisions.,"- Require effective/period start/end, published_at, available_at, observed_at, ingested_at, revised_at and revision number where applicable.
- Store raw observations append-only and derive as-of views by decision timestamp.
- Snapshot current-only public sources, such as Eurostat, on every ingest.
- Model amendments, restatements, corrections, retractions and supersession.
- Add timezone/precision confidence and fail closed when availability is ambiguous.","- ISSUE-0072 storage.
- Official filing timestamps and local import timestamps.
- Source metadata contracts.","- Any historical query reproduces what the application could know at a specified instant.
- Revised facts never overwrite earlier vintages.
- Derived features and scores retain source-vintage hashes.
- Ambiguous availability is excluded from historical authority.","- Synthetic revision fixtures.
- Look-ahead regression tests.
- Timezone/DST tests.
- As-of query property tests.","Instrument History, Data Health and Audit expose vintages, amendments and corrections.","Append-only observation ledger, source checksums and immutable decision-time manifests.",ISSUE-0072,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0074,Unify all scoring into a canonical score engine v3,Scoring architecture,P0,High,"The rich simple-score path and legacy signal/scoring path use overlapping but different formulas, weights and missing-data rules.","Formula drift makes rankings, explanations, backtests and future orders impossible to reconcile.","- Create one typed component contract for raw metric, transformation, peer group, score, authority, freshness, uncertainty and contribution.
- Separate attractiveness, expected return, risk/implementation and evidence confidence instead of compressing them into one number.
- Make stock, ETF, sector and horizon policies configuration-driven and versioned.
- Eliminate direct score-to-order logic; portfolio and order systems consume return distributions and risk.
- Provide migration adapters for old exports and historical score formulas.
- Generate explanations from the same calculation graph.","- ISSUE-0073 point-in-time views.
- Existing score fixtures and formula history.","- One canonical result is used by UI, export, backtest, paper and proposal systems.
- Missing data reduce coverage/confidence rather than becoming neutral.
- Score and component contributions reconcile exactly.
- Legacy-versus-v3 differences are documented for migrated instruments.","- Golden formula tests.
- Bounds/monotonicity property tests.
- Missing/conflict tests.
- Cross-surface reconciliation tests.",Scores and Instrument workspaces show the separated outputs and formula version.,Signed formula registry and immutable score-run manifest; completed runs cannot be mutated by plugins.,ISSUE-0071; ISSUE-0073,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0075,"Create formula, feature, dataset, model and policy version registries",Reproducibility,P0,High,"Partial version fields exist, but there is no single lineage graph for every calculation and decision.",Historical comparisons and model/order audits require exact reproducibility after code and data changes.,"- Assign semantic versions and content hashes to schemas, formulas, features, datasets, models, optimisers, risk and execution policies.
- Record dependency graphs for every run.
- Add forward-only migrations and explicit invalidation rules.
- Prevent mutable aliases such as “latest” from being the sole historical reference.
- Expose compatibility, deprecation and required-rebuild metadata.","- ISSUE-0072 storage.
- Git commit, locked environment and package manifest.","- Every score, forecast, target, proposal and order resolves to immutable versions.
- An upstream hash change invalidates dependent caches deterministically.
- Supported historical artefacts remain readable after migrations.
- What Changed identifies the exact version cause.","- Lineage graph tests.
- Cache invalidation tests.
- Migration tests.
- Reproduction-from-manifest test.","Audit, Diagnostics and What Changed expose lineage and compatibility.",Hash-chain lineage records; secrets and private notes are excluded from public manifests.,ISSUE-0072; ISSUE-0074,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0076,"Define stable plugin contracts for providers, models, strategies and brokers",Extensibility,P0/P1,High,New integrations currently risk spreading provider- or broker-specific assumptions throughout the application.,"A final product must add sources and brokers without changing core scoring, risk or UI logic.","- Define capability, configuration, health, fetch/import, schema, authority, licence, quota and audit contracts.
- Separate data providers, parsers, model challengers, strategies, optimisers and broker adapters.
- Require explicit unsupported, unavailable and degraded responses.
- Use entry-point/registry discovery only after allow-list validation.
- Provide conformance kits and sample plugins.","- Python packaging entry points or explicit local registry.
- Pydantic configuration schemas.","- A plugin cannot write canonical stores directly or escalate authority.
- Every plugin declares licence, network, credential, quota and retention requirements.
- Conformance tests run without secrets.
- Disabling a plugin leaves mandatory workflows usable.","- Contract tests.
- Malicious/invalid plugin tests.
- Version compatibility tests.
- Network-disabled tests.","Provider, Model and Broker Status pages use one capability representation.","Plugin allow-list, path/network restrictions, secret isolation and SBOM inclusion.",ISSUE-0071; ISSUE-0070,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0077,Implement a durable resumable job DAG and workflow scheduler,Workflow platform,P0,High,"Long-running imports, parsing, scoring, training and backtests are coordinated through UI-oriented activity state.","Reliable completion requires idempotency, checkpoints, cancellation, dependency order and restart recovery.","- Represent work as typed jobs and dependency DAGs with immutable input hashes.
- Persist queued, running, succeeded, failed, cancelled and blocked states in SQLite.
- Add leases, heartbeats, checkpoints, bounded retries, cancellation and deduplication.
- Support CPU/GPU/memory declarations and concurrency limits.
- Emit one canonical event stream for UI and audit.","- ISSUE-0072 transactional store.
- Local worker process or bounded thread/process pool.","- Application restart resumes or safely restarts eligible jobs.
- Duplicate button presses cannot duplicate committed outputs.
- Failed downstream jobs cannot publish partial generations.
- Every job reports inputs, outputs, timing and resource use.","- Crash/restart tests.
- Idempotency tests.
- Cancellation tests.
- DAG failure-propagation tests.","Global Jobs and Activity centre with dependency graph, logs and recovery actions.","Redacted logs, bounded outputs, safe subprocess environment and audit event hash chain.",ISSUE-0072; ISSUE-0075,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0078,"Set performance, memory, storage and latency budgets with regression profiling",Performance,P0/P1,High,Optimisation work is qualitative and can regress as datasets and models grow.,A local application must remain usable on declared hardware profiles and explain slow operations.,"- Define budgets for startup, route render, common queries, refresh, 100/1,000/10,000-instrument screens, backtests and training.
- Add structured timing, memory and I/O telemetry.
- Profile hot paths and compare pandas, Polars, DuckDB SQL or vectorisation before replacing implementations.
- Add cache hit/invalidation metrics and storage-growth projections.
- Create benchmark baselines in CI.","- pytest-benchmark or equivalent.
- ISSUE-0151 hardware profiles.","- Budgets and test datasets are versioned.
- Regressions above tolerance block release or require an approved waiver.
- UI remains responsive while work executes.
- Optimisations preserve numerical and lineage equivalence.","- Microbenchmarks.
- End-to-end benchmarks.
- Memory-leak/soak tests.
- Numerical-equivalence tests.",Diagnostics performance dashboard and per-job resource view.,Telemetry contains no secrets/private thesis content and remains local by default.,ISSUE-0077,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
ISSUE-0079,"Establish open-source intake, licence, provenance and upstream-update governance",Supply-chain governance,P0,High,"The roadmap proposes copying mature projects, but licence, security and maintenance review are not formalised.","Casual copying can create legal obligations, vulnerabilities, incompatible architecture and unmaintainable forks.","- Record repository, exact commit/tag, licence, maintainers, release cadence, tests, security policy, dependencies and copied files.
- Classify permissive, weak-copyleft and strong-copyleft integration boundaries.
- Require NOTICE/attribution, local conformance tests and an upstream-diff/update policy.
- Prefer dependencies or adapters over copied cores.
- Review model-weight and dataset licences separately from source code.","- SBOM tooling under ISSUE-0145.
- Legal/terms review under ISSUE-0149.","- No third-party code enters main without an approved intake record.
- Copied/modified code is traceable to exact upstream content.
- AGPL/LGPL components have approved process/linking boundaries.
- Abandoned or vulnerable dependencies have replacement plans.","- Licence-policy tests.
- SBOM diff tests.
- Upstream compatibility tests.
- Attribution packaging tests.",Settings/About shows third-party notices; System Map shows external components.,Signed intake records and automated licence/vulnerability scans.,ISSUE-0145; ISSUE-0149,"Mandatory implementation is local-first and must not depend on a paid plan, API key or per-call vendor quota."
