issue_id,title,status,priority,current_gap,required_change,why,dependencies,completion_evidence,free_no_quota_policy
ISSUE-0007,Add non-executable news/macro contradiction panel,Open,P2,"Contradictions are not yet a complete, point-in-time workflow across research and portfolio views.","Persist typed contradiction records with source, decision-time availability, severity, confidence, expiry and resolution. Link them to events, scenarios and affected exposures while keeping them outside direct score/order authority.","Conflicts between strong price/fundamental evidence and adverse news or macro conditions are useful review signals, but opaque sentiment must not become an order generator.",ISSUE-0054; ISSUE-0024; ISSUE-0026; ISSUE-0073; ISSUE-0115,"Historical replay reproduces each contradiction; UI and audit show it; regression tests prove it cannot directly change a score, target or order.","The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0008,Add strategy taxonomy and scope/rejection matrix,Open,P2,"The existing taxonomy assumes no broker execution forever, which conflicts with the new staged end state.","Replace the blanket boundary with a per-strategy authority matrix for research, shadow, paper, draft-order and capped-live stages. Keep martingale, grid, LLM-only and sentiment-only authority rejected.","Without explicit stage-specific authority, future code can either violate the present policy or accidentally grant unsafe execution rights.",ISSUE-0070; ISSUE-0060; ISSUE-0130; ISSUE-0133,"Static and behavioural tests reject unauthorised stage escalation; every strategy declares data, validation, risk and execution prerequisites.","The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0010,Add non-executable LLM thesis diary,Open,P2,"LLM commentary is not yet fully immutable, reproducible and evaluated forward-only.","Store prompt, model, source and retrieval hashes; evidence snapshots; redaction state; human review; expiry; and later outcomes. Keep LLM output excluded from scores, optimisers and orders.","A diary can aid review and learning, but LLM text is not deterministic financial evidence and can contain hallucinations or historically contaminated claims.",ISSUE-0030; ISSUE-0057; ISSUE-0147,Every thesis reproduces from an audit packet and zero-authority regression tests pass.,"The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0011,Full main-UI button reliability audit,"Open, partial",P0,Current and future actions are not covered by one generated inventory and repeatable packaged E2E suite.,"Generate the action inventory from route/command metadata; cover research, training, paper, broker-read-only, recovery and live-stage controls; require stable IDs, command contracts and visible failure states.","A financial application cannot be considered complete while controls may be silent, duplicated, disconnected or only manually verified.",ISSUE-0014; ISSUE-0045; ISSUE-0136; ISSUE-0143,"Every action has a stable locator, callback contract, success/failure evidence and packaged browser test.","The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0012,Add visible progress/status indicators for long-running actions,"Open, partial",P0,Progress is still partly UI state rather than a durable resumable workflow record.,"Back all progress with the persistent job DAG, checkpoints, cancellation, resource metrics and one canonical event stream. Remove parallel activity stores.","Imports, parsers, training and backtests may run for long periods and must survive restart without duplicating publication.",ISSUE-0077; ISSUE-0117; ISSUE-0139,Every long-running command emits durable typed events that survive restart and reconcile with audit exports.,"The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0013,Rebuild package after every completed feature,Open,P0,The release discipline exists mainly as a policy and local evidence process.,"Implement it in protected CI: pinned environments, full tests, package build, launch, smoke, SBOM, signing and machine-readable closure evidence.",Handwritten “tests passed” records do not guarantee reproducible release artefacts.,UPDATEV2-0029; ISSUE-0141; ISSUE-0145; ISSUE-0152,"No issue can close unless the closure evaluator verifies current source, test, UI, export, build and browser evidence.","The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0014,Add end-to-end workflow test,"Open, partial",P0/P1,The main workflow has partial browser evidence but no complete hermetic suite.,"Add clean offline, best-effort online, migration, large-universe, training, paper-broker, recovery and package journeys. Separate source, packaged and browser suites.",Unit tests do not prove that a clean installation can complete the real user workflow.,ISSUE-0045; ISSUE-0143; ISSUE-0152,One documented command completes the mandatory workflow with deterministic fixtures on a clean machine.,"The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0015,Add app-level feature map / roadmap page,Open,P1,Route existence can be mistaken for feature readiness.,"Drive the page from the canonical dependency and closure registry; show implementation, release, data, model, paper and live authority separately.","Users and developers need a truthful map of complete, partial, research-only, optional and rejected capabilities.",ISSUE-0070; ISSUE-0075; ISSUE-0152,Status is generated from verified evidence and cannot be manually overstated.,"The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0016,Full product navigation redesign,Open,P1,The application has many routes but no final task-oriented information architecture.,"Fold this into frontend v2: Home, Discover, Instrument, Portfolio, Models, Backtest/Paper, Data Health, Audit and Settings, with search and command palette.",Institutional-style workflows require coherent journeys rather than an ever-growing sidebar of technical pages.,ISSUE-0137; ISSUE-0138; ISSUE-0139; ISSUE-0140,"All final functions are reachable, understandable, responsive and E2E-tested through the new workspaces.","The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0017,First-run onboarding and setup wizard,Implementation complete; closure pending,P1,"The current wizard lacks the final offline data bootstrap, hardware profile and privacy/security choices.","Add storage location, hardware profile, mandatory versus optional providers, offline sample/bulk bootstrap, encryption/backup preferences and explicit staged-execution defaults.",A complete local-first product must work on an empty machine without a key or network and must not accidentally enable trading.,ISSUE-0080; ISSUE-0151; ISSUE-0146,Clean first-run passes offline and online enrichment remains optional.,"The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0018,Watchlist and universe manager,Implementation complete; closure pending,P0/P1,"CRUD exists, but identity, classification, backfill and delisting propagation are incomplete.","Connect edits to the canonical identity master, classification service, data-dependency plan, point-in-time universe and cache invalidation. Never trigger orders or hidden analysis on save.",Every user-added stock or ETF must appear consistently in all relevant calculations and screens.,UPDATEV2-0011; ISSUE-0082; ISSUE-0083; ISSUE-0126,"Browser CRUD, identity resolution, classification, backfill and downstream propagation pass for representative stock and ETF cases.","The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0019,Proper instrument detail page,Implementation complete; closure pending,P0/P1,"The page is evidence-rich but lacks the complete long-horizon, sector-specific and operational workspaces.","Add expected-return distributions, sector adapters, full metric histories, peer comparison, valuation/scenario labs, factor risk, model cards and paper/order timelines.",The instrument page is the primary research hub and must explain every output and limitation.,ISSUE-0091–ISSUE-0116; ISSUE-0138,"Complete stock and ETF journeys, unavailable states, exports, accessibility and packaged browser tests pass.","The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0020,Screener and filter system,Open,P1,"Current screening is not yet point-in-time, peer-normalised or portfolio-aware.","Support reproducible as-of screens, sector adapters, factor percentiles, coverage/confidence filters, expected-return distributions, portfolio impact and saved query versions.",Discovery must not compare inapplicable raw metrics or silently favour instruments with richer data.,ISSUE-0073; ISSUE-0074; ISSUE-0098; ISSUE-0138,Saved screens reproduce exactly from the same dataset/formula versions and exports include filter lineage.,"The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0021,Portfolio construction and allocation sandbox,Open,P1,The portfolio page is context rather than a complete construction and risk laboratory.,"Integrate factor risk, robust covariance, multiple transparent optimisers, constraints, turnover/cost/tax lots, scenarios and attribution, always compared with simple baselines.","A stock/ETF score is not a portfolio weight; diversification, uncertainty and implementation costs must be modelled separately.",ISSUE-0110–ISSUE-0116; ISSUE-0130,"Every proposed allocation shows feasibility, binding constraints, uncertainty, no-trade baseline, turnover and net-of-cost effects.","The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0022,ETF overlap and look-through exposure engine,Open,P1,Top-holdings overlap is insufficient for complete fund exposure and risk.,"Resolve full/partial holdings to canonical entities, support nested funds, cash and derivatives, preserve history and propagate unresolved coverage into factor/valuation/risk outputs.","ETFs can conceal duplicate issuers, sectors, countries, currencies and factors across apparently different products.",UPDATEV2-0016; ISSUE-0082; ISSUE-0105,"Every look-through output reports source, as-of date, hierarchy depth, resolved weight and unresolved weight.","The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0023,Stock fundamentals quality module hardening,Implementation complete; closure pending,P1,The implemented five-section yfinance layer remains shallow and uses incomplete vendor fields.,"Retain it as a compatibility layer but replace fixed universal thresholds with official point-in-time statements, restatements, sector adapters, accounting quality, capital efficiency and valuation scenarios.","Professional long-term stock analysis depends on multi-period, comparable and sector-appropriate fundamentals.",ISSUE-0091–ISSUE-0102,"Representative companies in every supported sector use the new stack with complete source, coverage and release evidence.","The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
ISSUE-0024,"Earnings, dividends and event calendar",Open,P1/P2,Events are not represented in one canonical availability-aware model.,"Add earnings, dividends, splits, filings, guidance, fund rebalances, index changes, review dates and risk events with timezone, source, precision and decision-time availability.","Event timing affects interpretation, model validity and order risk, but must not leak into earlier backtests.",ISSUE-0073; ISSUE-0084; ISSUE-0085; ISSUE-0130,Historical event queries are point-in-time correct and event-based order blocks are policy-driven and audited.,"The mandatory path must work from local cache, official bulk/public files or user-owned imports. Remote quota failure must be visible, non-destructive and non-blocking."
