owner,record_count,open_count,closed_count,proposed_count,phases
analysis-and-validation,14,11,3,0,phase-01-governance-scope;phase-05-returns-risk-portfolio
application-platform,2,2,0,2,phase-08-frontend-api
audit-and-reproducibility,1,1,0,1,phase-10-audit-documentation-governance
backtest-and-paper,3,3,0,3,phase-07-backtest-paper-execution
data-and-evidence,21,15,6,0,phase-01-governance-scope;phase-02-data-policy-identity
data-platform,17,17,0,17,phase-01-governance-scope;phase-02-data-policy-identity
documentation,1,1,0,1,phase-10-audit-documentation-governance
etf-and-fund-research,1,1,0,1,phase-04-etf-research
etf-research,5,5,0,5,phase-04-etf-research
frontend-and-api,21,21,0,9,phase-01-governance-scope;phase-08-frontend-api
model-governance,9,9,0,9,phase-06-model-research;phase-10-audit-documentation-governance
platform-and-operations,8,8,0,3,phase-01-governance-scope
portfolio-construction,2,2,0,2,phase-05-returns-risk-portfolio
programme-governance,41,33,8,7,phase-01-governance-scope;phase-05-returns-risk-portfolio;phase-09-quality-release-security;phase-10-audit-documentation-governance;phase-11-certification
quality-and-release,5,5,0,5,phase-09-quality-release-security;phase-10-audit-documentation-governance
reproducibility,1,1,0,1,phase-01-governance-scope
returns-and-risk,15,15,0,15,phase-05-returns-risk-portfolio
scoring-and-evidence,1,1,0,1,phase-01-governance-scope
security-and-release,4,4,0,4,phase-01-governance-scope;phase-09-quality-release-security
stock-research,12,12,0,12,phase-03-stock-research
trading-safety,13,13,0,9,phase-07-backtest-paper-execution
